prop_name,dev_stage,actv_status,country_name,current_stage,production_capacity,resv_metal_tonnage (mt),grade (%),production (mt),resource (milion mt),resource nickel contained (milion mt),resv_ore_tonnage (mt),late_exp_stage_lead_time,late_exp_stage_left_time,fea_stage_lead_time,fea_stage_left_time,dev_stage_lead_time,dev_stage_left_time,latitude,longitude
Ferguson Lake Region,Grassroots,Inactive,Canada,Operating-stage,,,0.66,,46.0,303900.0,,3.0,,4.0,,3.0,,62.875,-97.108
Fisher East,Prefeas/Scoping,Active,Australia,Operating-stage,,,1.9,,4.3,,,2.0,,7.0,,7.0,,-26.80566,121.55167
Fond du Lac,Reserves Development,Inactive,Canada,Operating-stage,,,0.66,,3.4,,,,,,,4.0,,59.3868,-105.93787
Forrestania,Operating,Active,Australia,Operating-stage,770926.7048974276,6952.696543537417,1.46,4120.644170122503,3.96,52600.0,2109000.0,,,,,,,-32.58101,119.74317
Forrestania,Operating,Inactive,Australia,Closed,6187072.106272658,0.0,4.0,0.0,14.88,293924.0,1598000.0,,,,,,,-32.24668,119.67059
Fortaleza de Minas,Closed,Inactive,Brazil,Closed-stage,424513.1052202104,,1.3,,,,1100000.0,,,,,,,-20.89472,-46.70722
Fujia,Reserves Development,Active,China,Operating-stage,486410.62904508156,,1.38,2900.862054905519,,,1374100.0,,,,,6.0,,42.863,126.496
Gag Island,Operating,Active,Indonesia,Operating-stage,12321640.884892933,575431.5439372831,1.83,22848.30812163145,,,38670000.0,,,,,,,-0.45095,129.87477
Ghan Well,Reserves Development,Active,Australia,Operating-stage,,,0.9,,1.3,11900.0,,,,,,4.0,,-28.87083,122.13111
Glavica,Operating,Active,Serbia,Operating-stage,1664110.922041695,66018.65268511175,1.1,4765.842508272201,3.0,33000.0,8509081.521839686,,,,,,,42.54669,21.01366
Gogota,Reserves Development,Active,Guinea,Operating-stage,81.55379383854402,,0.96,0.510595234855402,,,1.28,,,,,1.0,,7.75457,-8.4994
Golden Ridge,Advanced Exploration,Active,Australia,Feasibility-stage,,,2.92,,0.22,,,3.0,,16.0,6.0,,,-30.91056,121.71694
Golden Valley,Reserves Development,Inactive,South Africa,Operating-stage,,,0.43,,20.4,,,,,,,3.0,,-26.0,27.51667
